Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category,Engagement_Metrics
2005,PremiumGame,12 to under 18,2,2,7.422,2.1855532079723927,Average_Games,70.83333333333333
1994,BaseGame,under 5,2,4,5.0,1.0,Median_Games,1.5
1991,BaseGame,under 5,2,20,5.0,1.711317698429467,Average_Games,5.333333333333333
2013,BaseGame,12 to under 18,2,5,7.59907,2.52989365448271,Long_Games,1361.5
2002,PremiumGame,5 to under 12,2,6,6.68343,1.766018029438693,Median_Games,102.5
2003,BaseGame,5 to under 12,2,2,4.93077,1.284527079371787,Median_Games,37.5
2013,BaseGame,12 to under 18,2,2,7.66077,2.0669765476442,Long_Games,333.5
2002,PremiumGame,12 to under 18,2,28,3.75,2.422635396858934,Long_Games,5.333333333333333
2007,BaseGame,5 to under 12,2,6,8.0,1.0,Median_Games,0.8333333333333334
1985,BaseGame,5 to under 12,2,2,6.2,2.422635396858934,Median_Games,10.833333333333334
1995,BaseGame,5 to under 12,1,8,5.2875,1.711317698429467,Median_Games,21.833333333333332
2003,BaseGame,5 to under 12,2,6,6.65385,1.711317698429467,Average_Games,16.833333333333332
1984,BaseGame,12 to under 18,2,2,6.86914,2.3389844355236287,Long_Games,71.16666666666667
2007,BaseGame,under 5,2,2,8.01471,2.6893795337699835,Long_Games,32.666666666666664
1999,BaseGame,5 to under 12,2,2,7.122,1.8133896753292484,Median_Games,9655.0
1995,BaseGame,12 to under 18,1,2,8.0,1.0,Very_Long_Games,6.333333333333333
2015,BaseGame,5 to under 12,2,6,5.13158,1.4742355095429256,Median_Games,18.833333333333332
1991,BaseGame,5 to under 12,2,2,6.79342,1.812176913867174,Median_Games,1448.8333333333333
1999,BaseGame,5 to under 12,2,6,5.0,1.0,Median_Games,2.3333333333333335
2002,BaseGame,5 to under 12,2,4,5.60513,1.284527079371787,Median_Games,29.0
1996,BaseGame,5 to under 12,2,5,5.86034,1.429493626311712,Median_Games,228.33333333333334
2014,BaseGame,12 to under 18,3,6,6.73684,1.1778294246073666,Median_Games,16.5
2012,PremiumGame,5 to under 12,2,2,8.15385,2.0669765476442,Median_Games,14.5
2003,BaseGame,5 to under 12,2,6,5.625,1.0,Median_Games,13.5
1996,BaseGame,5 to under 12,1,8,4.27143,1.1422635396858931,Median_Games,4.0
2004,BaseGame,5 to under 12,2,5,6.71143,1.711317698429467,Average_Games,36.666666666666664
2005,BaseGame,12 to under 18,2,4,6.84412,2.830489471089513,Long_Games,645.5
2013,BaseGame,5 to under 12,2,2,8.0,1.711317698429467,Median_Games,2.0
2004,BaseGame,5 to under 12,2,2,7.73367,2.6004648214663,Median_Games,50.666666666666664
2007,BaseGame,under 5,2,2,5.75854,1.711317698429467,Median_Games,23.166666666666668
2008,PremiumGame,under 5,3,4,7.7297,3.1339530952884007,Long_Games,42.0
2003,BaseGame,under 5,2,6,3.9,1.0,Short_Games,3.8333333333333335
2011,BaseGame,5 to under 12,2,2,7.5,1.711317698429467,Short_Games,4.333333333333333
